postal code,latitude,longitude
39560,+30.3763526,-089.1727305
53507,+42.9843085,-089.9138831
53508,+42.8661878,-089.5755816
61822,+40.1364810,-088.3053070
53510,+42.7453556,-090.3052377
61830,+40.0330783,-088.7165082
61831,+40.2250902,-087.7920697
53511,+42.5539949,-089.0944443
53515,+43.1150041,-089.7393383
53516,+42.7969522,-089.8735045
53517,+43.0569828,-089.8323294
61832,+40.1362337,-087.6364661
53518,+43.2409890,-090.5951299
61833,+40.0997467,-087.6442201
53520,+42.5968217,-089.3527363
53521,+42.8381054,-089.4003023
61834,+40.1525459,-087.6732983
53522,+42.5569093,-089.7834898
61315,+41.2878039,-089.3645174
48767,+43.6505180,-083.4631542
39561,+30.7025160,-089.1548832
42431,+37.3344734,-087.4813868
42436,+37.3739497,-087.5755370
48768,+43.3708306,-083.5775391
48770,+44.2511832,-083.8141843
39562,+30.5466824,-088.4894517
42437,+37.6666566,-087.9380705
53523,+42.9844090,-089.0288391
61841,+40.0205942,-087.8168712
53525,+42.5445335,-088.8586547
25039,+38.2349564,-081.3632605
75652,+32.2394093,-094.7283275
71046,+32.1630585,-093.9488250
71047,+32.2895239,-093.9149377
95825,+38.5918967,-121.4084670
02457,+42.2993878,-071.2742420
48509,+43.0239407,-083.6047091
95826,+38.5437535,-121.3776924
61568,+40.5105601,-089.4815079
61569,+40.6832318,-089.9006189
71048,+32.8385192,-092.8455892
81007,+38.3600416,-104.7731981
75654,+32.0777729,-094.8301299
71049,+32.0092062,-093.9665524
75656,+33.0113037,-094.5721613
71051,+32.3194542,-093.4779526
95827,+38.5561199,-121.3242596
48553,+42.9778311,-083.7235483
48554,+42.9758813,-083.7907344
81008,+38.4416193,-104.6215256
81019,+37.9436999,-104.8418756
95828,+38.4887898,-121.3958378
95829,+38.4895460,-121.3234520
95830,+38.4905076,-121.2841712
81020,+37.5488542,-104.4910197
81021,+38.3876123,-103.3809305
81022,+38.0501663,-104.4225728
81023,+38.0526345,-104.9642200
75657,+32.7949731,-094.3103064
95831,+38.4939658,-121.5291880
02535,+41.3379606,-070.7616743
75098,+33.0121346,-096.5349358
81024,+37.2493546,-104.7347129
71052,+32.0037181,-093.6633246
75661,+32.6313170,-094.1712612
95832,+38.4470502,-121.4961141
75101,+32.2700320,-096.7024944
75102,+32.0579379,-096.6325473
75103,+32.5168758,-095.8836220
75104,+32.5801809,-096.9646745
75105,+32.2630103,-096.3876628
75109,+32.0427838,-096.3437572
75110,+32.0846136,-096.5277676
75114,+32.6105754,-096.4442563
95833,+38.6190486,-121.5175516
27110,+36.0892596,-080.2249598
27127,+36.0207083,-080.2798166
49075,+41.9175130,-085.4486026
33573,+27.7228601,-082.3569228
37336,+35.3088425,-084.9315118
33576,+28.3357346,-082.3378312
37337,+35.7870560,-084.8506641
37338,+35.4297867,-085.2095188
37339,+35.3799587,-085.6342303
37340,+35.0340631,-085.5175194
33578,+27.8622004,-082.3500444
37341,+35.2241762,-085.0732942
33579,+27.7962306,-082.2936530
33594,+27.9409344,-082.2424794
61820,+40.1078904,-088.2442663
53406,+42.7345369,-087.8648917
43502,+41.5345544,-084.2937871
27201,+36.0341723,-079.4848287
27203,+35.7284639,-079.7865270
27205,+35.6382587,-079.8508662
61839,+40.1377167,-088.6291664
61840,+40.2988731,-088.3002628
02458,+42.3535846,-071.1881919
02459,+42.3147789,-071.1920167
43518,+41.5964884,-084.7577482
27207,+35.6076129,-079.3905175
27208,+35.5632305,-079.5429277
27209,+35.3431019,-079.7534419
27212,+36.4809670,-079.2798562
27214,+36.2060550,-079.6711260
27215,+36.0270987,-079.4917994
27217,+36.1909450,-079.3801853
27229,+35.2656322,-079.7757333
27231,+36.2077199,-079.1694201
27233,+35.8925121,-079.7049800
27235,+36.0892715,-080.0125446
27239,+35.6006596,-080.0902264
02460,+42.3518240,-071.2084904
02461,+42.3173616,-071.2065077
27242,+35.3296566,-079.6489549
27243,+36.0669164,-079.1981478
27244,+36.2153772,-079.4863698
27248,+35.7832957,-079.7163307
27249,+36.1541407,-079.5823894
27252,+35.5666138,-079.3497583
27253,+35.9661662,-079.3473506
27258,+36.0108018,-079.2911976
27260,+35.9544670,-079.9878820
27262,+35.9631324,-080.0416543
27263,+35.9115217,-079.9367986
27265,+36.0123051,-080.0309493
27278,+36.0901953,-079.0869286
27281,+35.1874423,-079.6251154
27282,+35.9889567,-079.9282820
27283,+35.9514740,-079.6354182
02462,+42.3287076,-071.2559002
27284,+36.1161212,-080.0818653
27288,+36.4976449,-079.7500154
27291,+36.4183159,-079.1684283
02464,+42.3129751,-071.2188818
27292,+35.7383250,-080.2075465
27295,+35.8717669,-080.3101798
27298,+35.8851152,-079.5675454
27299,+35.7523237,-080.3861487
27301,+36.1135101,-079.6656557
27302,+36.1420299,-079.2661809
43529,+41.1876053,-083.7815852
49076,+42.4286349,-084.8803298
49078,+42.4725097,-085.7328493
02465,+42.3489119,-071.2263300
43531,+41.6350441,-084.4956661
43532,+41.4504965,-083.9749671
43533,+41.6918840,-084.0815567
43534,+41.3496110,-083.9269810
43535,+41.3072797,-084.0220343
49079,+42.2401548,-085.9080747
81025,+38.4550470,-104.3552963
81027,+37.1893515,-103.7999388
81029,+37.0829091,-102.5088780
13842,+42.3767000,-074.7236090
13843,+42.5030327,-075.3824691
13844,+42.6081789,-075.6683170
61030,+42.1196480,-089.5916239
02466,+42.3444566,-071.2486166
02467,+42.3143213,-071.1527779
71999,+34.1274583,-093.0590669
84404,+41.2694732,-112.1176448
72001,+35.0583514,-092.8858457
02468,+42.3285530,-071.2295297
02472,+42.3694508,-071.1779249
61031,+41.8320706,-089.3115876
61032,+42.3180035,-089.6367840
93465,+35.5388033,-120.7398578
93501,+35.0671114,-118.1849409
02474,+42.4209494,-071.1563695
43519,+41.4193593,-084.4070701
02476,+42.4156366,-071.1756700
75116,+32.6606604,-096.9118821
02478,+42.3953169,-071.1802840
02481,+42.3119471,-071.2755167
02482,+42.2930990,-071.2985351
02492,+42.2760290,-071.2445431
02493,+42.3605016,-071.3034335
02494,+42.2994895,-071.2325194
02532,+41.7517590,-070.5975518
75117,+32.7150128,-095.8544608
75119,+32.3258806,-096.5882377
75124,+32.3260260,-095.9740558
02534,+41.6689421,-070.6194072
75125,+32.5366996,-096.6217469
75126,+32.7431782,-096.4548996
75127,+32.6902949,-095.7899320
75132,+32.9457476,-096.3738828
43521,+41.6604894,-084.2979938
43522,+41.4203100,-083.8324020
38390,+35.8405464,-088.3722936
62883,+38.1684155,-089.1203711
24067,+37.0318042,-080.0598967
38391,+35.5465715,-088.9921775
75115,+32.5994271,-096.8640746
48502,+43.0137267,-083.6883757
42027,+36.9166709,-088.6276857
42028,+37.2389100,-088.3368482
75134,+32.6176630,-096.7780575
75135,+33.0663446,-096.2214374
42029,+37.0064721,-088.3919601
48503,+42.9999233,-083.7088642
42031,+36.6857478,-088.9913973
43547,+41.4921602,-083.8763158
43548,+41.1853343,-084.1751158
43549,+41.3712031,-084.5207540
48472,+43.5123231,-082.9632121
48473,+42.9369499,-083.8205439
42025,+36.8569236,-088.3347141
29324,+34.9836864,-081.8266347
29325,+34.4651410,-081.8498163
27030,+36.4898018,-080.6291636
48475,+43.6731558,-082.9479871
48476,+42.9387067,-084.0300499
27040,+36.1693118,-080.3930448
27041,+36.4252619,-080.4872012
27042,+36.3528190,-080.0642026
27043,+36.3372457,-080.4519109
27045,+36.2343984,-080.2960701
27046,+36.5022187,-080.0782643
27047,+36.3141343,-080.5691122
27048,+36.4825897,-079.9176921
42032,+36.7758047,-089.1080665
42035,+36.9002256,-088.8403820
42036,+36.7115210,-088.2145438
42037,+37.1727808,-088.1877067
27050,+36.2264423,-080.4097074
27051,+36.1959455,-080.1534011
27052,+36.3207550,-080.1504527
27053,+36.4742760,-080.3478503
27054,+35.7925404,-080.5978879
27055,+36.1138325,-080.6310992
27101,+36.1108495,-080.2004303
27103,+36.0582299,-080.3214959
48504,+43.0547192,-083.7437365
42038,+37.0474135,-088.0276468
42039,+36.7887093,-088.8254336
42040,+36.6252956,-088.4970733
42041,+36.5503732,-088.8773521
27104,+36.0936873,-080.3235320
48505,+43.0703107,-083.6861174
27105,+36.1633767,-080.2337873
27106,+36.1439097,-080.3231573
27107,+36.0131579,-080.1754914
43551,+41.5179514,-083.5720038
54727,+44.9539528,-091.1591062
43469,+41.4603686,-083.3645499
43501,+41.6726550,-084.4617960
43504,+41.6957726,-083.8367491
43505,+41.5239457,-084.7312635
43506,+41.4662106,-084.5571335
43523,+41.3370649,-083.9892543
43524,+41.2271217,-084.0384436
43525,+41.4665824,-083.7044501
43526,+41.3128056,-084.7253089
43527,+41.2461091,-084.1575024
43511,+41.2625594,-083.8147261
43512,+41.3033782,-084.3582793
43515,+41.5842148,-084.0106149
43516,+41.2149032,-083.9152423
43517,+41.4339468,-084.7285498
43528,+41.6288552,-083.7495751
97884,+44.4553438,-118.2222296
97885,+45.6556688,-117.5117041
97886,+45.8023079,-118.2724104
97901,+43.6214451,-117.1072752
97903,+44.2468051,-117.6469773
97904,+43.8861787,-118.5229286
97905,+44.5738200,-117.4595124
97906,+43.5370386,-117.7746785
97907,+44.4195014,-117.3455140
97908,+44.3123779,-117.9278861
97909,+44.2466919,-117.4189575
97911,+43.7364817,-118.0413879
97914,+44.1136188,-117.0841615
97918,+44.0371142,-117.3510723
97920,+44.0721806,-117.8542824
71944,+34.2428242,-094.3327689
73118,+35.5179676,-097.5287181
71945,+34.4851525,-094.3395650
38392,+35.4567276,-089.0448454
24069,+36.5768856,-079.6425656
62884,+38.0833662,-089.0561707
73119,+35.4220070,-097.5661255
71949,+34.6990852,-093.2207979
71950,+34.2565183,-093.7178363
71952,+34.2765131,-093.8214354
73120,+35.5813161,-097.5736742
73121,+35.5211182,-097.4395401
44706,+40.7535246,-081.4186450
73122,+35.5204840,-097.6134401
73127,+35.4774218,-097.6531944
73128,+35.4584819,-097.6623814
73129,+35.4314838,-097.4842815
71953,+34.6080155,-094.1971930
73130,+35.4586326,-097.3456320
43553,+41.5312274,-084.2288363
43554,+41.6584216,-084.5634914
24070,+37.3561141,-080.2258343
73131,+35.5764578,-097.4692940
71956,+34.5986356,-093.1534376
73132,+35.5534001,-097.6333255
62885,+38.8590588,-089.0542116
34655,+28.2037090,-082.6188042
73134,+35.6141680,-097.5684471
71957,+34.5650238,-093.5747012
24072,+37.0419899,-080.2423807
34661,+28.6047508,-082.2452711
73135,+35.4002683,-097.4330755
94133,+37.8045315,-122.4108520
62886,+38.3808979,-088.5392266
93505,+35.1637396,-117.8865267
73139,+35.3863767,-097.5256886
71958,+34.1233523,-093.6646132
73141,+35.5199621,-097.3944746
71959,+34.2431655,-093.9315844
94304,+37.3747017,-122.1816956
43565,+41.4199707,-083.7401071
61416,+40.4993972,-090.5628970
73142,+35.6165977,-097.6453212
94134,+37.7210530,-122.4135730
94158,+37.7681061,-122.3869269
94404,+37.5559985,-122.2676793
94501,+37.7737930,-122.2781151
61417,+40.7741736,-090.5383204
36860,+32.2744008,-085.4245033
61418,+40.8501737,-090.8625863
93510,+34.4509057,-118.2276141
93512,+37.8918665,-118.5545694
93513,+37.1319890,-118.1558801
93514,+37.4921149,-118.3904081
93516,+35.0022823,-117.6299405
94301,+37.4441310,-122.1499165
94303,+37.4578797,-122.1151577
94305,+37.4182561,-122.1708709
94306,+37.4157295,-122.1307644
94401,+37.5769477,-122.3169034
94402,+37.5236020,-122.3449203
94403,+37.5384494,-122.3054470
94503,+38.1863204,-122.2636108
94505,+37.8716803,-121.5970660
94506,+37.8096767,-121.9131406
94507,+37.8504099,-122.0211231
93517,+38.2811084,-119.3844494
93518,+35.3851106,-118.4911682
93519,+35.2943494,-117.9257852
42440,+37.2407268,-087.4646023
48807,+43.1504763,-084.4020062
48801,+43.3741008,-084.6776078
42441,+37.3626476,-087.6685288
39563,+30.4217495,-088.5230818
48806,+43.1868911,-084.5001610
42442,+37.1671029,-087.4883932
48808,+42.8288357,-084.4447756
48809,+43.0752987,-085.2579615
48811,+43.1814983,-084.8537354
42450,+37.3958701,-087.7634021
39565,+30.5870947,-088.7444625
42451,+37.8845326,-087.3907071
42452,+37.6865115,-087.5316717
42453,+37.1578560,-087.5907124
39567,+30.3654461,-088.5401151
48813,+42.5797748,-084.8458912
42455,+37.5933753,-087.5425510
61419,+41.1994607,-090.1174603
53045,+43.0588888,-088.1525198
48815,+42.8343711,-085.2585846
48816,+42.7650090,-083.9559809
42456,+37.5077055,-087.4960966
42458,+37.8395629,-087.4209423
61424,+41.0767665,-089.6349938
61425,+40.7592417,-091.0401500
93522,+36.3162976,-117.5923332
26003,+40.0701633,-080.6472418
48817,+43.0139493,-084.0428844
61426,+41.1199967,-089.7069800
61427,+40.5085208,-090.1838776
48818,+43.2746033,-084.8851123
42459,+37.5668063,-088.0190479
36863,+32.8894943,-085.2637505
36865,+32.6026180,-085.5893336
78640,+29.9991096,-097.8282166
78641,+30.5621680,-097.9078165
78642,+30.6908798,-097.9414258
95834,+38.6352119,-121.5186075
95835,+38.6706486,-121.5259826
60945,+40.8281888,-087.5842131
95837,+38.6937652,-121.5989408
95838,+38.6457235,-121.4452544
60946,+40.9165055,-088.2028973
78643,+30.6885434,-098.6898893
78644,+29.8716437,-097.6768206
78645,+30.4499963,-097.9718056
78648,+29.6901841,-097.6335547
78650,+30.3038849,-097.2188991
78652,+30.1328059,-097.8746889
78653,+30.3396958,-097.5235117
95841,+38.6603703,-121.3473936
62872,+38.2681682,-088.8097354
30464,+32.4372293,-082.2249610
95842,+38.6868098,-121.3491442
37351,+35.1002851,-085.2603629
37352,+35.2775203,-086.3530268
33597,+28.5455315,-082.0805317
37353,+35.1150099,-084.9890965
33598,+27.6934231,-082.2846591
37354,+35.5063288,-084.3473845
30467,+32.7537925,-081.6035342
30470,+32.3139073,-082.5610356
30471,+32.5432629,-082.1809098
30473,+32.0168972,-082.4688297
30474,+32.2385777,-082.4177731
78654,+30.5812155,-098.2087319
45647,+39.2943408,-082.7330290
45648,+38.9180874,-083.0076859
45650,+38.7382926,-083.4223281
38348,+35.8727444,-088.6509627
95843,+38.7154634,-121.3634219
33602,+27.9535304,-082.4571128
31784,+31.2472497,-084.0366697
31787,+31.8991789,-084.2433175
31788,+31.1114406,-083.6767965
95864,+38.5840466,-121.3758456
95901,+39.2239387,-121.4940499
61855,+39.9221387,-088.6609290
53534,+42.8608232,-089.0933096
61856,+40.0267619,-088.5801176
31789,+31.4797339,-083.7398355
31790,+31.6524758,-083.5779675
31791,+31.5291370,-083.8949784
31792,+30.7707983,-084.0437041
